No.,Ingredient,Per bar     [g],Protein [g/100g],Dietary fiber [g/100g],Fat        [g/100g],Moisture [g/100g],Carbohydrates 
1,Dates (pitted and dried),16.50,2.00,6.40,0.50,18.40,nd
,Contribution,,0.33,1.06,0.08,3.04,nd
2,Rolled Oats,10.00,12.90,9.90,6.90,10.00,nd
,Contribution,,1.29,0.99,0.69,1.00,nd
3,Potato Protein Isolate,8.50,93.20,0.20,0.10,7.00,nd
,Contribution,,7.92,0.02,0.01,0.60,nd
4,Dehulled Hemp Seeds,6.50,25.93,4.58,52.07,5.50,nd
,Contribution,,1.69,0.30,3.38,0.36,nd
5,Agave Syrup,5.00,0.11,0.00,0.87,18.93,nd
,Contribution,,0.01,0.00,0.04,0.95,nd
6,Whole Hemp Seeds,3.50,20.45,37.68,31.03,5.86,nd
,Contribution,,0.72,1.32,1.09,0.21,nd
8,Cocoa Powder (Unsweetened),2.50,16.50,24.00,21.90,5.10,nd
,Contribution,,0.41,0.60,0.55,0.13,nd
9,Vanilla Extract,0.50,0.00,0.00,0.00,0.00,nd
,Contribution,,0.00,0.00,0.00,0.00,nd
10,Sea Salt,0.50,0.00,0.00,0.00,0.00,nd
,Contribution,,0.00,0.00,0.00,0.00,nd
,,,,,,,
,Total in bar,53.50,12.36,4.28,5.84,6.27,24.75
,% in bar,,23.11,8.00,10.92,11.72,46.26
,Energy Content [kcal/100g],,49.45,8.56,52.58,0.00,99.00
,Total kcal in bar,209.58,,,,,
,[kcal/100g],391.74,,,,,